U M2 [D2U] S [L2R'] E2 
U M [U2D] R [U2D'] M' 
U M [U2D] l [F2B'] M' 
R U [FB] U [F'B'] R' 
R U [FB] U [F'B'] l' 
R U [FB] d [R'L'] f' 
R U [FB] d [R'L'] B' 
R U' R' [F'B'] U [FB] 
R U' R' [F'B'] d [RL] 
R U' l' [U'D'] f [RL] 
R U' l' [U'D'] B [UD] 
R d [RL] U [R'L'] f' 
R d [RL] U [R'L'] B' 
R d [RL] d [F'B'] r' 
R d [RL] d [F'B'] L' 
R d' F' [R'L'] U [RL] 
R d' F' [R'L'] d [FB] 
R d' b' [U'D'] R [UD] 
R d' b' [U'D'] l [FB] 
M' F [D2U] F M u2 
M' F [D2U] F M D2 
M' F [D2U] F M E2 
M' F [D2U] F M [D2U] 
M' F [D2U] F M [D2U'] 
M' F [D2U] b E R2 
M' F [D2U] b E M2 
M' F [D2U] b E l2 
M' F [D2U] b E [R2L] 
M' F [D2U] b E [R2L'] 
M' S' [R2L] F E R2 
M' S' [R2L] F E M2 
M' S' [R2L] F E l2 
M' S' [R2L] F E [R2L] 
M' S' [R2L] F E [R2L'] 
M' S' [R2L] b M' U2 
M' S' [R2L] b M' d2 
M' S' [R2L] b M' E2 
M' S' [R2L] b M' [U2D] 
M' S' [R2L] b M' [U2D'] 
M' b [R2L] F E R2 
M' b [R2L] F E M2 
M' b [R2L] F E l2 
M' b [R2L] F E [R2L] 
M' b [R2L] F E [R2L'] 
M' b [R2L] b M' U2 
M' b [R2L] b M' d2 
M' b [R2L] b M' E2 
M' b [R2L] b M' [U2D] 
M' b [R2L] b M' [U2D'] 
M' [FB] [D2U] F M u2 
M' [FB] [D2U] F M D2 
M' [FB] [D2U] F M E2 
M' [FB] [D2U] F M [D2U] 
M' [FB] [D2U] F M [D2U'] 
M' [FB] [D2U] b E R2 
M' [FB] [D2U] b E M2 
M' [FB] [D2U] b E l2 
M' [FB] [D2U] b E [R2L] 
M' [FB] [D2U] b E [R2L'] 
M' [B2F] [D2U] F M u2 
M' [B2F] [D2U] F M D2 
M' [B2F] [D2U] F M E2 
M' [B2F] [D2U] F M [D2U] 
M' [B2F] [D2U] F M [D2U'] 
M' [B2F] [D2U] b E R2 
M' [B2F] [D2U] b E M2 
M' [B2F] [D2U] b E l2 
M' [B2F] [D2U] b E [R2L] 
M' [B2F] [D2U] b E [R2L'] 
R2 f u2 [R2L] f u2 
R2 f u2 [R2L] f D2 
R2 f u2 [R2L] f E2 
R2 f u2 [R2L] f [D2U] 
R2 f u2 [R2L] f [D2U'] 
R2 f u2 [R2L] B R2 
R2 f u2 [R2L] B M2 
R2 f u2 [R2L] B l2 
R2 f u2 [R2L] B [R2L] 
R2 f u2 [R2L] B [R2L'] 
R2 f D2 [L2R] F M2 
R2 f D2 [L2R] F r2 
R2 f D2 [L2R] F L2 
R2 f D2 [L2R] F [L2R] 
R2 f D2 [L2R] F [L2R'] 
R2 f D2 [L2R] b u2 
R2 f D2 [L2R] b D2 
R2 f D2 [L2R] b E2 
R2 f D2 [L2R] b [D2U] 
R2 f D2 [L2R] b [D2U'] 
R2 B R2 [D2U] F u2 
R2 B R2 [D2U] F D2 
R2 B R2 [D2U] F E2 
R2 B R2 [D2U] F [D2U] 
R2 B R2 [D2U] F [D2U'] 
R2 B R2 [D2U] b R2 
R2 B R2 [D2U] b M2 
R2 B R2 [D2U] b l2 
R2 B R2 [D2U] b [R2L] 
R2 B R2 [D2U] b [R2L'] 
R2 B l2 [U2D] f R2 
R2 B l2 [U2D] f M2 
R2 B l2 [U2D] f l2 
R2 B l2 [U2D] f [R2L] 
R2 B l2 [U2D] f [R2L'] 
R2 B l2 [U2D] B U2 
R2 B l2 [U2D] B d2 
R2 B l2 [U2D] B E2 
R2 B l2 [U2D] B [U2D] 
R2 B l2 [U2D] B [U2D'] 
M2 F M2 [D2U] F u2 
M2 F M2 [D2U] F D2 
M2 F M2 [D2U] F E2 
M2 F M2 [D2U] F [D2U] 
M2 F M2 [D2U] F [D2U'] 
M2 F M2 [D2U] b R2 
M2 F M2 [D2U] b M2 
M2 F M2 [D2U] b l2 
M2 F M2 [D2U] b [R2L] 
M2 F M2 [D2U] b [R2L'] 
M2 E2 [F2B'] [D2U] M2 [F2B'] 
M2 b E2 [R2L] F R2 
M2 b E2 [R2L] F M2 
M2 b E2 [R2L] F l2 
M2 b E2 [R2L] F [R2L] 
M2 b E2 [R2L] F [R2L'] 
M2 b E2 [R2L] b U2 
M2 b E2 [R2L] b d2 
M2 b E2 [R2L] b E2 
M2 b E2 [R2L] b [U2D] 
M2 b E2 [R2L] b [U2D'] 
M2 [F2B'] u' M2 E [B2F'] 
M2 [F2B'] D' S2 E [R2L'] 
M2 [F2B'] [U2D] S2 E' [L2R'] 
F' U R f' U' [FB] 
F' U R f' d' [RL] 
F' U R B' R' [FB] 
F' U R B' l' [UD] 
F' U l U' R' [UD] 
F' U l U' l' [FB] 
F' U l d' F' [UD] 
F' U l d' b' [RL] 
F' R' U' R U F 
F' R' U' R U b 
F' R' U' R d R 
F' R' U' R d l 
F' R' U' l F u 
F' R' U' l F D 
F' R' U' l b R 
F' R' U' l b l 
F' R' d' F U r 
F' R' d' F U L 
F' R' d' F d F 
F' R' d' F d b 
F' R' d' b r F 
F' R' d' b r b 
F' R' d' b L u 
F' R' d' b L D 
F' l' f' U f U 
F' l' f' U f d 
F' l' f' U B r 
F' l' f' U B L 
F' l' f' d r U 
F' l' f' d r d 
F' l' f' d L F 
F' l' f' d L b 
F' l' B' R f R 
F' l' B' R f l 
F' l' B' R B U 
F' l' B' R B d 
F' l' B' l U F 
F' l' B' l U b 
F' l' B' l d R 
F' l' B' l d l 
F' d f U' f' [RL] 
F' d f U' B' [UD] 
F' d f d' R' [UD] 
F' d f d' l' [FB] 
F' d B r' U' [RL] 
F' d B r' d' [FB] 
F' d B L' f' [UD] 
F' d B L' B' [RL] 
F' [R2L] F' [R2L'] U F 
F' [R2L] F' [R2L'] U b 
F' [R2L] F' [R2L'] d R 
F' [R2L] F' [R2L'] d l 
F' [R2L] b' [D2U'] R F 
F' [R2L] b' [D2U'] R b 
F' [R2L] b' [D2U'] l u 
F' [R2L] b' [D2U'] l D 
r U' r' f' r [UD] 
r U' r' f' L [FB] 
r U' r' B' U [FB] 
r U' r' B' d [RL] 
r U' L' u' r [FB] 
